Dismissal Session,Pickup Area,Date,AD Method,Dismissal Location,Time In,Time Out,Time In Clean,Time Out Clean,Time Difference,Diff Min,Release,Diff Release,carpool_id,Level
Daily Dismissal,Upper Loop,11/2/22 14:00,AUTO,2nd Grade,11/2/22 14:01,11/2/22 14:23,14:01,14:23,0:22:00,22,11/2/2022 14:00:00,1,110714,ES
Daily Dismissal,Upper Loop,11/2/22 14:00,AUTO,2nd Grade,11/2/22 14:01,11/2/22 14:25,14:01,14:25,0:24:00,24,11/2/2022 14:00:00,1,110715,ES
Daily Dismissal,Upper Loop,11/2/22 14:00,AUTO,3rd Grade,11/2/22 14:01,11/2/22 14:24,14:01,14:24,0:23:00,23,11/2/2022 14:00:00,1,110716,ES
Daily Dismissal,Upper Loop,11/2/22 14:00,AUTO,2nd Grade,11/2/22 14:01,11/2/22 14:24,14:01,14:24,0:23:00,23,11/2/2022 14:00:00,1,110717,ES
Daily Dismissal,Upper Loop,11/2/22 14:00,AUTO,2nd Grade,11/2/22 14:01,11/2/22 14:24,14:01,14:24,0:23:00,23,11/2/2022 14:00:00,1,110718,ES
Daily Dismissal,Upper Loop,11/2/22 14:00,AUTO,Kindergart,11/2/22 14:03,11/2/22 14:25,14:03,14:25,0:22:00,22,11/2/2022 14:00:00,3,110719,ES
Daily Dismissal,Upper Loop,11/2/22 14:00,AUTO,2nd Grade,11/2/22 14:05,11/2/22 14:25,14:05,14:25,0:20:00,20,11/2/2022 14:00:00,5,110720,ES
Daily Dismissal,Upper Loop,11/2/22 14:00,AUTO,3rd Grade,11/2/22 14:05,11/2/22 14:26,14:05,14:26,0:21:00,21,11/2/2022 14:00:00,5,110721,ES
Daily Dismissal,Upper Loop,11/2/22 14:00,AUTO,Pre-K - Bo,11/2/22 14:05,11/2/22 14:26,14:05,14:26,0:21:00,21,11/2/2022 14:00:00,5,110722,ES
Daily Dismissal,Upper Loop,11/2/22 14:00,AUTO,Kindergart,11/2/22 14:05,11/2/22 14:26,14:05,14:26,0:21:00,21,11/2/2022 14:00:00,5,110722,ES
Daily Dismissal,Upper Loop,11/2/22 14:00,AUTO,Kindergart,11/2/22 14:06,11/2/22 15:08,14:06,15:08,1:02:00,62,11/2/2022 14:00:00,6,110723,ES
Daily Dismissal,Upper Loop,11/2/22 14:00,AUTO,Pre-K - Bo,11/2/22 14:06,11/2/22 14:28,14:06,14:28,0:22:00,22,11/2/2022 14:00:00,6,110724,ES
Daily Dismissal,Upper Loop,11/2/22 14:00,AUTO,Kindergart,11/2/22 14:06,11/2/22 14:26,14:06,14:26,0:20:00,20,11/2/2022 14:00:00,6,110725,ES
Daily Dismissal,Upper Loop,11/2/22 14:00,AUTO,2nd Grade,11/2/22 14:09,11/2/22 14:26,14:09,14:26,0:17:00,17,11/2/2022 14:00:00,9,110726,ES
Daily Dismissal,Upper Loop,11/2/22 14:00,AUTO,Pre-K - Ka,11/2/22 14:11,11/2/22 14:28,14:11,14:28,0:17:00,17,11/2/2022 14:00:00,11,110728,ES
Daily Dismissal,Upper Loop,11/2/22 14:00,AUTO,1st Grade,11/2/22 14:11,11/2/22 14:28,14:11,14:28,0:17:00,17,11/2/2022 14:00:00,11,110729,ES
Daily Dismissal,Upper Loop,11/2/22 14:00,AUTO,2nd Grade,11/2/22 14:12,11/2/22 14:28,14:12,14:28,0:16:00,16,11/2/2022 14:00:00,12,110730,ES
Daily Dismissal,Upper Loop,11/2/22 14:00,AUTO,Kindergart,11/2/22 14:13,11/2/22 14:28,14:13,14:28,0:15:00,15,11/2/2022 14:00:00,13,110731,ES
Daily Dismissal,Upper Loop,11/2/22 14:00,AUTO,1st Grade,11/2/22 14:13,11/2/22 14:28,14:13,14:28,0:15:00,15,11/2/2022 14:00:00,13,110732,ES
Daily Dismissal,Upper Loop,11/2/22 14:00,AUTO,Pre-K - Ka,11/2/22 14:13,11/2/22 14:28,14:13,14:28,0:15:00,15,11/2/2022 14:00:00,13,110732,ES
Daily Dismissal,Upper Loop,11/2/22 14:00,AUTO,1st Grade,11/2/22 14:14,11/2/22 14:28,14:14,14:28,0:14:00,14,11/2/2022 14:00:00,14,110733,ES
Daily Dismissal,Upper Loop,11/2/22 14:00,AUTO,Kindergart,11/2/22 14:14,11/2/22 14:29,14:14,14:29,0:15:00,15,11/2/2022 14:00:00,14,110734,ES
Daily Dismissal,Upper Loop,11/2/22 14:00,AUTO,2nd Grade,11/2/22 14:14,11/2/22 14:28,14:14,14:28,0:14:00,14,11/2/2022 14:00:00,14,110735,ES
Daily Dismissal,Upper Loop,11/2/22 14:00,AUTO,Pre-K - Bo,11/2/22 14:15,11/2/22 14:29,14:15,14:29,0:14:00,14,11/2/2022 14:00:00,15,110736,ES
Daily Dismissal,Upper Loop,11/2/22 14:00,AUTO,Kindergart,11/2/22 14:16,11/2/22 14:28,14:16,14:28,0:12:00,12,11/2/2022 14:00:00,16,110737,ES
Daily Dismissal,Upper Loop,11/2/22 14:00,AUTO,2nd Grade,11/2/22 14:16,11/2/22 14:28,14:16,14:28,0:12:00,12,11/2/2022 14:00:00,16,110737,ES
Daily Dismissal,Upper Loop,11/2/22 14:00,AUTO,1st Grade,11/2/22 14:17,11/2/22 14:29,14:17,14:29,0:12:00,12,11/2/2022 14:00:00,17,110738,ES
Daily Dismissal,Upper Loop,11/2/22 14:00,AUTO,5th Grade,11/2/22 14:17,11/2/22 14:29,14:17,14:29,0:12:00,12,11/2/2022 14:00:00,17,110739,ES
Daily Dismissal,Upper Loop,11/2/22 14:00,AUTO,Pre-K - Ka,11/2/22 14:17,11/2/22 14:29,14:17,14:29,0:12:00,12,11/2/2022 14:00:00,17,110740,ES
Daily Dismissal,Upper Loop,11/2/22 14:00,AUTO,Pre-K - Ka,11/2/22 14:17,11/2/22 14:32,14:17,14:32,0:15:00,15,11/2/2022 14:00:00,17,110741,ES
Daily Dismissal,Upper Loop,11/2/22 14:00,AUTO,Kindergart,11/2/22 14:17,11/2/22 14:27,14:17,14:27,0:10:00,10,11/2/2022 14:00:00,17,110742,ES
Daily Dismissal,Upper Loop,11/2/22 14:00,AUTO,2nd Grade,11/2/22 14:17,11/2/22 14:21,14:17,14:21,0:04:00,4,11/2/2022 14:00:00,17,110743,ES
Daily Dismissal,Upper Loop,11/2/22 14:00,AUTO,Pre-K - Bo,11/2/22 14:17,11/2/22 14:31,14:17,14:31,0:14:00,14,11/2/2022 14:00:00,17,110744,ES
Daily Dismissal,Upper Loop,11/2/22 14:00,AUTO,1st Grade,11/2/22 14:17,11/2/22 14:31,14:17,14:31,0:14:00,14,11/2/2022 14:00:00,17,110745,ES
Daily Dismissal,Upper Loop,11/2/22 14:00,AUTO,1st Grade,11/2/22 14:17,11/2/22 14:31,14:17,14:31,0:14:00,14,11/2/2022 14:00:00,17,110745,ES
Daily Dismissal,Upper Loop,11/2/22 14:00,AUTO,1st Grade,11/2/22 14:18,11/2/22 14:21,14:18,14:21,0:03:00,3,11/2/2022 14:00:00,18,110746,ES
Daily Dismissal,Upper Loop,11/2/22 14:00,AUTO,4th Grade,11/2/22 14:18,11/2/22 14:30,14:18,14:30,0:12:00,12,11/2/2022 14:00:00,18,110747,ES
Daily Dismissal,Upper Loop,11/2/22 14:00,AUTO,2nd Grade,11/2/22 14:18,11/2/22 14:31,14:18,14:31,0:13:00,13,11/2/2022 14:00:00,18,110748,ES
Daily Dismissal,Upper Loop,11/2/22 14:00,AUTO,2nd Grade,11/2/22 14:19,11/2/22 14:32,14:19,14:32,0:13:00,13,11/2/2022 14:00:00,19,110749,ES
Daily Dismissal,Upper Loop,11/2/22 14:00,AUTO,2nd Grade,11/2/22 14:19,11/2/22 14:31,14:19,14:31,0:12:00,12,11/2/2022 14:00:00,19,110750,ES
Daily Dismissal,Upper Loop,11/2/22 14:00,AUTO,2nd Grade,11/2/22 14:20,11/2/22 14:31,14:20,14:31,0:11:00,11,11/2/2022 14:00:00,20,110751,ES
Daily Dismissal,Upper Loop,11/2/22 14:00,AUTO,3rd Grade,11/2/22 14:20,11/2/22 14:32,14:20,14:32,0:12:00,12,11/2/2022 14:00:00,20,110752,ES
Daily Dismissal,Upper Loop,11/2/22 14:00,AUTO,1st Grade,11/2/22 14:20,11/2/22 14:32,14:20,14:32,0:12:00,12,11/2/2022 14:00:00,20,110752,ES
Daily Dismissal,Upper Loop,11/2/22 14:00,AUTO,1st Grade,11/2/22 14:21,11/2/22 14:32,14:21,14:32,0:11:00,11,11/2/2022 14:00:00,21,110753,ES
Daily Dismissal,Upper Loop,11/2/22 14:00,AUTO,1st Grade,11/2/22 14:21,11/3/22 14:24,14:21,14:24,24:03:00,1443,11/2/2022 14:00:00,21,110754,ES
Daily Dismissal,Upper Loop,11/2/22 14:00,AUTO,Pre-K - Ka,11/2/22 14:22,11/2/22 14:33,14:22,14:33,0:11:00,11,11/2/2022 14:00:00,22,110755,ES
Daily Dismissal,Upper Loop,11/2/22 14:00,AUTO,1st Grade,11/2/22 14:22,11/2/22 14:33,14:22,14:33,0:11:00,11,11/2/2022 14:00:00,22,110755,ES
Daily Dismissal,Upper Loop,11/2/22 14:00,AUTO,3rd Grade,11/2/22 14:22,11/2/22 14:48,14:22,14:48,0:26:00,26,11/2/2022 14:00:00,22,110756,ES
Daily Dismissal,Upper Loop,11/2/22 14:00,AUTO,2nd Grade,11/2/22 14:22,11/2/22 14:33,14:22,14:33,0:11:00,11,11/2/2022 14:00:00,22,110757,ES
Daily Dismissal,Upper Loop,11/2/22 14:00,AUTO,2nd Grade,11/2/22 14:22,11/2/22 14:25,14:22,14:25,0:03:00,3,11/2/2022 14:00:00,22,110758,ES
Daily Dismissal,Upper Loop,11/2/22 14:00,AUTO,Kindergart,11/2/22 14:22,11/2/22 14:25,14:22,14:25,0:03:00,3,11/2/2022 14:00:00,22,110758,ES
Daily Dismissal,Upper Loop,11/2/22 14:00,AUTO,4th Grade,11/2/22 14:22,11/2/22 14:25,14:22,14:25,0:03:00,3,11/2/2022 14:00:00,22,110758,ES
Daily Dismissal,Upper Loop,11/2/22 14:00,AUTO,1st Grade,11/2/22 14:22,11/2/22 14:23,14:22,14:23,0:01:00,1,11/2/2022 14:00:00,22,110759,ES
Daily Dismissal,Upper Loop,11/2/22 14:00,AUTO,1st Grade,11/2/22 14:23,11/2/22 14:32,14:23,14:32,0:09:00,9,11/2/2022 14:00:00,23,110760,ES
Daily Dismissal,Upper Loop,11/2/22 14:00,AUTO,Kindergart,11/2/22 14:23,11/2/22 14:26,14:23,14:26,0:03:00,3,11/2/2022 14:00:00,23,110761,ES
Daily Dismissal,Upper Loop,11/2/22 14:00,AUTO,2nd Grade,11/2/22 14:23,11/2/22 14:32,14:23,14:32,0:09:00,9,11/2/2022 14:00:00,23,110762,ES
Daily Dismissal,Upper Loop,11/2/22 14:00,AUTO,5th Grade,11/2/22 14:23,11/2/22 14:32,14:23,14:32,0:09:00,9,11/2/2022 14:00:00,23,110762,ES
Daily Dismissal,Upper Loop,11/2/22 14:00,AUTO,Kindergart,11/2/22 14:23,11/2/22 14:33,14:23,14:33,0:10:00,10,11/2/2022 14:00:00,23,110763,ES
Daily Dismissal,Upper Loop,11/2/22 14:00,AUTO,2nd Grade,11/2/22 14:23,11/2/22 14:26,14:23,14:26,0:03:00,3,11/2/2022 14:00:00,23,110764,ES
Daily Dismissal,Upper Loop,11/2/22 14:00,AUTO,2nd Grade,11/2/22 14:23,11/2/22 14:24,14:23,14:24,0:01:00,1,11/2/2022 14:00:00,23,110765,ES
Daily Dismissal,Upper Loop,11/2/22 14:00,AUTO,Kindergart,11/2/22 14:23,11/2/22 14:24,14:23,14:24,0:01:00,1,11/2/2022 14:00:00,23,110765,ES
Daily Dismissal,Upper Loop,11/2/22 14:00,AUTO,2nd Grade,11/2/22 14:24,11/2/22 14:26,14:24,14:26,0:02:00,2,11/2/2022 14:00:00,24,110766,ES
Daily Dismissal,Upper Loop,11/2/22 14:00,AUTO,2nd Grade,11/2/22 14:24,11/2/22 14:33,14:24,14:33,0:09:00,9,11/2/2022 14:00:00,24,110767,ES
Daily Dismissal,Upper Loop,11/2/22 14:00,AUTO,Kindergart,11/2/22 14:24,11/2/22 14:33,14:24,14:33,0:09:00,9,11/2/2022 14:00:00,24,110767,ES
Daily Dismissal,Upper Loop,11/2/22 14:00,AUTO,Kindergart,11/2/22 14:24,11/2/22 14:33,14:24,14:33,0:09:00,9,11/2/2022 14:00:00,24,110768,ES
Daily Dismissal,Upper Loop,11/2/22 14:00,AUTO,5th Grade,11/2/22 14:24,11/2/22 14:51,14:24,14:51,0:27:00,27,11/2/2022 14:00:00,24,110769,ES
Daily Dismissal,Upper Loop,11/2/22 14:00,AUTO,4th Grade,11/2/22 14:24,11/2/22 14:51,14:24,14:51,0:27:00,27,11/2/2022 14:00:00,24,110769,ES
Daily Dismissal,Upper Loop,11/2/22 14:00,AUTO,Kindergart,11/2/22 14:24,11/2/22 14:27,14:24,14:27,0:03:00,3,11/2/2022 14:00:00,24,110770,ES
Daily Dismissal,Upper Loop,11/2/22 14:00,AUTO,1st Grade,11/2/22 14:25,11/2/22 14:34,14:25,14:34,0:09:00,9,11/2/2022 14:00:00,25,110771,ES
Daily Dismissal,Upper Loop,11/2/22 14:00,AUTO,Kindergart,11/2/22 14:27,11/2/22 14:34,14:27,14:34,0:07:00,7,11/2/2022 14:00:00,27,110772,ES
Daily Dismissal,Upper Loop,11/2/22 14:00,AUTO,Kindergart,11/2/22 14:27,11/2/22 14:34,14:27,14:34,0:07:00,7,11/2/2022 14:00:00,27,110773,ES
Daily Dismissal,Upper Loop,11/2/22 14:00,AUTO,1st Grade,11/2/22 14:27,11/2/22 14:34,14:27,14:34,0:07:00,7,11/2/2022 14:00:00,27,110774,ES
Daily Dismissal,Upper Loop,11/2/22 14:00,AUTO,4th Grade,11/2/22 14:27,11/2/22 14:52,14:27,14:52,0:25:00,25,11/2/2022 14:00:00,27,110775,ES
Daily Dismissal,Upper Loop,11/2/22 14:00,AUTO,2nd Grade,11/2/22 14:27,11/2/22 14:30,14:27,14:30,0:03:00,3,11/2/2022 14:00:00,27,110776,ES
Daily Dismissal,Upper Loop,11/2/22 14:00,AUTO,Kindergart,11/2/22 14:27,11/2/22 14:30,14:27,14:30,0:03:00,3,11/2/2022 14:00:00,27,110776,ES
Daily Dismissal,Upper Loop,11/2/22 14:00,AUTO,2nd Grade,11/2/22 14:28,11/2/22 14:34,14:28,14:34,0:06:00,6,11/2/2022 14:00:00,28,110777,ES
Daily Dismissal,Upper Loop,11/2/22 14:00,AUTO,5th Grade,11/2/22 14:28,11/2/22 14:28,14:28,14:28,0:00:00,0,11/2/2022 14:00:00,28,110778,ES
Daily Dismissal,Upper Loop,11/2/22 14:00,AUTO,5th Grade,11/2/22 14:28,11/2/22 14:34,14:28,14:34,0:06:00,6,11/2/2022 14:00:00,28,110779,ES
Daily Dismissal,Upper Loop,11/2/22 14:00,AUTO,2nd Grade,11/2/22 14:28,11/2/22 14:53,14:28,14:53,0:25:00,25,11/2/2022 14:00:00,28,110780,ES
Daily Dismissal,Upper Loop,11/2/22 14:00,AUTO,3rd Grade,11/2/22 14:28,11/2/22 14:31,14:28,14:31,0:03:00,3,11/2/2022 14:00:00,28,110781,ES
Daily Dismissal,Upper Loop,11/2/22 14:00,AUTO,4th Grade,11/2/22 14:31,11/2/22 14:36,14:31,14:36,0:05:00,5,11/2/2022 14:00:00,31,110784,ES
Daily Dismissal,Upper Loop,11/2/22 14:00,AUTO,Kindergart,11/2/22 14:31,11/2/22 14:36,14:31,14:36,0:05:00,5,11/2/2022 14:00:00,31,110785,ES
Daily Dismissal,Upper Loop,11/2/22 14:00,AUTO,1st Grade,11/2/22 14:32,11/2/22 14:53,14:32,14:53,0:21:00,21,11/2/2022 14:00:00,32,110786,ES
Daily Dismissal,Upper Loop,11/2/22 14:00,AUTO,Kindergart,11/2/22 14:32,11/2/22 14:53,14:32,14:53,0:21:00,21,11/2/2022 14:00:00,32,110787,ES
Daily Dismissal,Upper Loop,11/2/22 14:00,AUTO,3rd Grade,11/2/22 14:32,11/2/22 14:53,14:32,14:53,0:21:00,21,11/2/2022 14:00:00,32,110787,ES
Daily Dismissal,Upper Loop,11/2/22 14:00,AUTO,2nd Grade,11/2/22 14:32,11/2/22 14:36,14:32,14:36,0:04:00,4,11/2/2022 14:00:00,32,110788,ES
Daily Dismissal,Upper Loop,11/2/22 14:00,AUTO,4th Grade,11/2/22 14:33,11/2/22 14:49,14:33,14:49,0:16:00,16,11/2/2022 14:00:00,33,110789,ES
Daily Dismissal,Upper Loop,11/2/22 14:00,AUTO,5th Grade,11/2/22 14:34,11/2/22 14:48,14:34,14:48,0:14:00,14,11/2/2022 14:00:00,34,110790,ES
Daily Dismissal,Upper Loop,11/2/22 14:00,AUTO,2nd Grade,11/2/22 14:34,11/2/22 14:48,14:34,14:48,0:14:00,14,11/2/2022 14:00:00,34,110790,ES
Daily Dismissal,Upper Loop,11/2/22 14:00,AUTO,2nd Grade,11/2/22 14:34,11/2/22 14:36,14:34,14:36,0:02:00,2,11/2/2022 14:00:00,34,110791,ES
Daily Dismissal,Upper Loop,11/2/22 14:00,AUTO,1st Grade,11/2/22 14:34,11/2/22 14:51,14:34,14:51,0:17:00,17,11/2/2022 14:00:00,34,110792,ES
Daily Dismissal,Upper Loop,11/2/22 14:00,AUTO,Pre-K - Ka,11/2/22 14:34,11/2/22 14:51,14:34,14:51,0:17:00,17,11/2/2022 14:00:00,34,110792,ES
Daily Dismissal,Upper Loop,11/2/22 14:00,AUTO,5th Grade,11/2/22 14:34,11/2/22 14:51,14:34,14:51,0:17:00,17,11/2/2022 14:00:00,34,110792,ES
Daily Dismissal,Upper Loop,11/2/22 14:00,AUTO,Kindergart,11/2/22 14:35,11/2/22 14:37,14:35,14:37,0:02:00,2,11/2/2022 14:00:00,35,110793,ES
Daily Dismissal,Upper Loop,11/2/22 14:00,AUTO,4th Grade,11/2/22 14:35,11/2/22 14:50,14:35,14:50,0:15:00,15,11/2/2022 14:00:00,35,110794,ES
Daily Dismissal,Upper Loop,11/2/22 14:00,AUTO,3rd Grade,11/2/22 14:35,11/2/22 14:36,14:35,14:36,0:01:00,1,11/2/2022 14:00:00,35,110795,ES
Daily Dismissal,Upper Loop,11/2/22 14:00,AUTO,4th Grade,11/2/22 14:35,11/2/22 14:36,14:35,14:36,0:01:00,1,11/2/2022 14:00:00,35,110795,ES
Daily Dismissal,Upper Loop,11/2/22 14:00,AUTO,3rd Grade,11/2/22 14:36,11/2/22 14:51,14:36,14:51,0:15:00,15,11/2/2022 14:00:00,36,110796,ES
Daily Dismissal,Upper Loop,11/2/22 14:00,AUTO,4th Grade,11/2/22 14:36,11/2/22 14:51,14:36,14:51,0:15:00,15,11/2/2022 14:00:00,36,110796,ES
Daily Dismissal,Upper Loop,11/2/22 14:00,AUTO,Pre-K - Bo,11/2/22 14:36,11/2/22 14:38,14:36,14:38,0:02:00,2,11/2/2022 14:00:00,36,110797,ES
Daily Dismissal,Upper Loop,11/2/22 14:00,AUTO,5th Grade,11/2/22 14:37,11/2/22 14:48,14:37,14:48,0:11:00,11,11/2/2022 14:00:00,37,110798,ES
Daily Dismissal,Upper Loop,11/2/22 14:00,AUTO,Pre-K - Ka,11/2/22 14:37,11/2/22 14:48,14:37,14:48,0:11:00,11,11/2/2022 14:00:00,37,110798,ES
Daily Dismissal,Upper Loop,11/2/22 14:00,AUTO,4th Grade,11/2/22 14:37,11/2/22 14:48,14:37,14:48,0:11:00,11,11/2/2022 14:00:00,37,110799,ES
Daily Dismissal,Upper Loop,11/2/22 14:00,AUTO,4th Grade,11/2/22 14:37,11/2/22 14:49,14:37,14:49,0:12:00,12,11/2/2022 14:00:00,37,110800,ES
Daily Dismissal,Upper Loop,11/2/22 14:00,AUTO,2nd Grade,11/2/22 14:37,11/2/22 14:39,14:37,14:39,0:02:00,2,11/2/2022 14:00:00,37,110801,ES
Daily Dismissal,Upper Loop,11/2/22 14:00,AUTO,1st Grade,11/2/22 14:37,11/2/22 14:39,14:37,14:39,0:02:00,2,11/2/2022 14:00:00,37,110801,ES
Daily Dismissal,Upper Loop,11/2/22 14:00,AUTO,3rd Grade,11/2/22 14:39,11/2/22 14:49,14:39,14:49,0:10:00,10,11/2/2022 14:00:00,39,110803,ES
Daily Dismissal,Upper Loop,11/2/22 14:00,AUTO,5th Grade,11/2/22 14:39,11/2/22 14:52,14:39,14:52,0:13:00,13,11/2/2022 14:00:00,39,110804,ES
Daily Dismissal,Upper Loop,11/2/22 14:00,AUTO,5th Grade,11/2/22 14:39,11/2/22 14:50,14:39,14:50,0:11:00,11,11/2/2022 14:00:00,39,110805,ES
Daily Dismissal,Upper Loop,11/2/22 14:00,AUTO,4th Grade,11/2/22 14:39,11/2/22 14:51,14:39,14:51,0:12:00,12,11/2/2022 14:00:00,39,110806,ES
Daily Dismissal,Upper Loop,11/2/22 14:00,AUTO,5th Grade,11/2/22 14:39,11/2/22 15:23,14:39,15:23,0:44:00,44,11/2/2022 14:00:00,39,110807,ES
Daily Dismissal,Upper Loop,11/2/22 14:00,AUTO,4th Grade,11/2/22 14:39,11/2/22 15:23,14:39,15:23,0:44:00,44,11/2/2022 14:00:00,39,110807,ES
Daily Dismissal,Upper Loop,11/2/22 14:00,AUTO,4th Grade,11/2/22 14:40,11/2/22 14:51,14:40,14:51,0:11:00,11,11/2/2022 14:00:00,40,110808,ES
Daily Dismissal,Upper Loop,11/2/22 14:00,AUTO,1st Grade,11/2/22 14:40,11/2/22 14:51,14:40,14:51,0:11:00,11,11/2/2022 14:00:00,40,110810,ES
Daily Dismissal,Upper Loop,11/2/22 14:00,AUTO,4th Grade,11/2/22 14:40,11/2/22 14:51,14:40,14:51,0:11:00,11,11/2/2022 14:00:00,40,110810,ES
Daily Dismissal,Upper Loop,11/2/22 14:00,AUTO,5th Grade,11/2/22 14:41,11/2/22 14:54,14:41,14:54,0:13:00,13,11/2/2022 14:00:00,41,110811,ES
Daily Dismissal,Upper Loop,11/2/22 14:00,AUTO,4th Grade,11/2/22 14:41,11/2/22 14:52,14:41,14:52,0:11:00,11,11/2/2022 14:00:00,41,110812,ES
Daily Dismissal,Upper Loop,11/2/22 14:00,AUTO,1st Grade,11/2/22 14:41,11/2/22 14:52,14:41,14:52,0:11:00,11,11/2/2022 14:00:00,41,110812,ES
Daily Dismissal,Upper Loop,11/2/22 14:00,AUTO,1st Grade,11/2/22 14:41,11/2/22 14:53,14:41,14:53,0:12:00,12,11/2/2022 14:00:00,41,110813,ES
Daily Dismissal,Upper Loop,11/2/22 14:00,AUTO,4th Grade,11/2/22 14:41,11/2/22 14:53,14:41,14:53,0:12:00,12,11/2/2022 14:00:00,41,110813,ES
Daily Dismissal,Upper Loop,11/2/22 14:00,AUTO,Pre-K - Bo,11/2/22 14:41,11/4/22 14:54,14:41,14:54,48:13:00,2893,11/2/2022 14:00:00,41,110814,ES
Daily Dismissal,Upper Loop,11/2/22 14:00,AUTO,1st Grade,11/2/22 14:41,11/4/22 14:54,14:41,14:54,48:13:00,2893,11/2/2022 14:00:00,41,110814,ES
